full_name,age,position,Current Club,minutes_played,nationality,appearances,goals,assists,clean_sheets,conceded,yellow_cards,red_cards
Aaron Cresswell,32,Defender,West Ham United,1589,England,20,0,1,3,22,1,0
Aaron Lennon,35,Midfielder,Burnley,1217,England,16,1,1,4,20,1,0
Aaron Mooy,32,Midfielder,Huddersfield Town,2327,Australia,29,3,1,4,46,4,0
Aaron Ramsey,31,Midfielder,Arsenal,1327,Wales,28,4,6,7,12,0,0
Aaron Rowe,22,Forward,Huddersfield Town,69,England,2,0,0,0,1,0,0
Aaron Wan-Bissaka,24,Midfielder,Crystal Palace,3135,England,35,0,3,12,41,5,1
Abdelhamid Sabiri,25,Midfielder,Huddersfield Town,49,Morocco,2,0,0,0,3,0,0
Abdoulaye Doucouré,29,Midfielder,Watford,3062,France,35,5,6,5,54,7,0
Aboubakar Kamara,27,Forward,Fulham,687,France,13,3,0,2,16,2,0
Adalberto Peñaranda Maestre,25,Forward,Watford,0,Venezuela,0,0,0,0,0,0,0
Adam David Lallana,34,Midfielder,Liverpool,465,England,13,0,0,6,2,1,0
Adam Masina,28,Defender,Watford,1003,Italy,14,0,1,2,19,5,0
Adam Smith,31,Defender,AFC Bournemouth,2073,England,25,1,1,9,30,6,1
Adama Diakhaby,26,Forward,Huddersfield Town,551,France,12,0,0,1,16,1,0
Adama Traoré Diarra,26,Midfielder,Wolverhampton Wanderers,890,Spain,29,1,1,6,11,1,0
Ademola Lookman,25,Forward,Everton,601,England,21,0,2,8,7,0,0
Adrian Mariappa,36,Defender,Watford,1921,Jamaica,26,0,0,6,29,3,0
Adrián San Miguel del Castillo,35,Goalkeeper,West Ham United,0,Spain,0,0,0,0,0,0,0
Adrien Sebastian Perruchet Silva,33,Midfielder,Leicester City,88,Portugal,2,0,0,1,1,0,0
Ainsley Maitland-Niles,25,Midfielder,Arsenal,985,England,16,1,1,4,16,3,1
Alberto Moreno,30,Defender,Liverpool,155,Spain,2,0,0,0,2,0,0
Aleksandar Mitrović,28,Forward,Fulham,3282,Serbia,37,11,3,5,74,7,0
Alex Iwobi,26,Forward,Arsenal,1972,Nigeria,35,3,6,8,31,0,0
Alex McCarthy,32,Goalkeeper,Southampton,2250,England,25,0,0,4,37,1,0
Alex Oxlade-Chamberlain,29,Midfielder,Liverpool,19,England,2,0,0,2,0,0,0
Alex Pritchard,29,Midfielder,Huddersfield Town,2092,England,30,2,0,4,39,2,0
Alex Smithies,32,Goalkeeper,Cardiff City,0,England,0,0,0,0,0,0,0
Alexander Sørloth,26,Forward,Crystal Palace,173,Norway,12,0,0,4,1,0,0
Alexandre Lacazette,31,Forward,Arsenal,2503,France,35,13,8,7,28,2,0
Alexandre Nascimento Costa Silva,25,Forward,West Ham United,17,Portugal,1,0,0,0,0,0,0
Alexis Sanchez,33,Forward,Manchester United,877,Chile,20,1,3,6,8,3,0
Alfie Jones,25,Defender,Southampton,0,England,0,0,0,0,0,0,0
Alfie Mawson,28,Defender,Fulham,1131,England,15,0,0,3,25,2,0
Alfie Whiteman,24,Goalkeeper,Tottenham Hotspur,0,England,0,0,0,0,0,0,0
Ali Koiki,22,Defender,Burnley,0,England,0,0,0,0,0,0,0
Alireza Jahanbakhsh,29,Forward,Brighton & Hove Albion,1022,Iran,19,0,0,4,16,2,0
Alisson Becker,30,Goalkeeper,Liverpool,3420,Brazil,38,0,0,21,19,1,0
Alvaro Morata,30,Forward,Chelsea,943,Spain,16,5,0,9,11,3,0
Ander Herrera,33,Midfielder,Manchester United,1404,Spain,22,2,3,6,17,4,0
André Filipe Tavares Gomes,29,Midfielder,Everton,1986,Portugal,27,1,1,10,27,7,0
Andre Gray,31,Forward,Watford,1358,England,29,7,2,5,23,2,0
André Schürrle,31,Midfielder,Fulham,1650,Germany,24,6,0,1,42,2,0
André-Frank Zambo Anguissa,26,Midfielder,Fulham,1518,Cameroon,22,0,0,3,30,3,1
Andreas Christensen,26,Defender,Chelsea,615,Denmark,8,0,0,3,7,1,0
Andreas Pereira,26,Midfielder,Manchester United,595,Brazil,15,1,1,1,10,5,0
Andrew Robertson,28,Defender,Liverpool,3219,Scotland,36,0,11,21,17,4,0
Andrew Surman,36,Midfielder,AFC Bournemouth,1438,England,18,0,0,5,35,2,0
Andriy Yarmolenko,33,Forward,West Ham United,459,Ukraine,9,2,0,1,4,2,0
Andros Townsend,31,Midfielder,Crystal Palace,3018,England,38,6,4,12,44,1,0
Andy Carroll,33,Forward,West Ham United,454,England,12,0,0,2,6,2,0
Angel Gomes,22,Midfielder,Manchester United,25,England,2,0,0,0,1,0,0
Angelo Ogbonna,34,Defender,West Ham United,1870,Italy,24,1,1,3,32,2,0
Angus Gunn,26,Goalkeeper,Southampton,1080,England,12,0,0,3,17,0,0
Anthony Driscoll-Glennon,22,Defender,Burnley,0,England,0,0,0,0,0,0,0
Anthony Knockaert,30,Midfielder,Brighton & Hove Albion,1832,France,30,2,6,3,36,5,1
Anthony Martial,26,Forward,Manchester United,1623,France,27,10,2,5,25,2,0
Antonio Barreca,27,Defender,Newcastle United,4,Italy,1,0,0,0,0,0,0
Antonio Rüdiger,29,Defender,Chelsea,2874,Germany,33,1,0,12,34,7,0
Antonio Valencia,37,Defender,Manchester United,466,Ecuador,6,0,0,2,5,2,0
Arijanet Muric,23,Goalkeeper,Manchester City,0,Montenegro,0,0,0,0,0,0,0
Aron Einar Gunnarsson,33,Midfielder,Cardiff City,2274,Iceland,28,1,1,8,37,5,0
Arthur Masuaku,28,Defender,West Ham United,1756,France,23,0,1,6,26,2,0
Artur Boruc,42,Goalkeeper,AFC Bournemouth,1080,Poland,12,0,0,4,17,2,0
Ashley Barnes,32,Forward,Burnley,2400,England,37,12,2,8,34,8,0
Ashley Westwood,32,Midfielder,Burnley,2822,England,34,2,7,7,44,5,0
Ashley Young,37,Midfielder,Manchester United,2568,England,30,2,2,4,41,10,1
Asmir Begović,35,Goalkeeper,AFC Bournemouth,2160,Bosnia and Herzegovina,24,0,0,5,44,0,0
Aymeric Laporte,28,Defender,Manchester City,3057,France,35,3,3,18,21,3,0
Ayoze Perez,29,Forward,Newcastle United,2929,Spain,37,12,2,11,34,2,0
Bakary Sako,34,Midfielder,Crystal Palace,25,Mali,4,0,0,1,0,0,0
Ben Chilwell,25,Defender,Leicester City,3240,England,36,0,4,10,39,4,0
Ben Davies,29,Defender,Tottenham Hotspur,1839,Wales,27,0,0,10,24,2,0
Ben Foster,39,Goalkeeper,Watford,3420,England,38,0,0,7,57,1,0
Ben Gibson,29,Defender,Burnley,63,England,1,1,0,0,3,1,0
Ben Hamer,34,Goalkeeper,Huddersfield Town,553,England,7,0,0,1,20,0,0
Ben Mee,33,Defender,Burnley,3420,England,38,0,2,8,57,9,0
Ben White,25,Defender,Brighton & Hove Albion,0,England,0,0,0,0,0,0,0
Ben Wilmot,23,Defender,Watford,26,England,2,0,0,1,2,0,0
Benjamin Johnson,22,Forward,West Ham United,63,England,1,0,0,0,1,0,0
Benjamin Mendy,28,Defender,Manchester City,900,France,10,0,5,4,6,1,0
Beram Kayal,34,Midfielder,Brighton & Hove Albion,934,Israel,18,1,1,5,15,4,0
Bernard Anício Caldeira Duarte,30,Midfielder,Everton,2128,Brazil,34,1,3,14,19,5,0
Bernardo,27,Defender,Brighton & Hove Albion,1750,Brazil,22,0,1,4,28,4,0
Bernardo Silva,28,Midfielder,Manchester City,2853,Portugal,36,7,7,18,22,3,0
Bernd Leno,30,Goalkeeper,Arsenal,2835,Germany,32,0,0,7,39,0,0
Bobby Reid,29,Midfielder,Cardiff City,1422,England,27,5,2,6,27,0,0
Brian Murphy,39,Goalkeeper,Cardiff City,0,Republic of Ireland,0,0,0,0,0,0,0
